transcript_id,transcript_position,read_index,probability_modified
NC_060946.1:31432823-31442955,8543,13.0,0.0019450706895441
NC_060946.1:31432823-31442955,8543,23.0,0.0000307561749651
NC_060946.1:31432823-31442955,8543,30.0,0.0008211624226533
NC_060946.1:31432823-31442955,8543,19.0,0.0000718540322850
NC_060946.1:31432823-31442955,8543,3.0,0.0004968335269950
NC_060946.1:31432823-31442955,8543,12.0,0.0004796985303983
NC_060946.1:31432823-31442955,8543,24.0,0.0008157814154401
NC_060946.1:31432823-31442955,8543,16.0,0.0003499057784211
NC_060946.1:31432823-31442955,8543,22.0,0.0001852858113125
NC_060946.1:31432823-31442955,8543,28.0,0.0011224423069507
NC_060946.1:31432823-31442955,8543,21.0,0.0011047470616177
NC_060946.1:31432823-31442955,8543,27.0,0.0011531410273165
NC_060946.1:31432823-31442955,8543,4.0,0.0000064934088186
NC_060946.1:31432823-31442955,8543,18.0,0.0012251269072294
NC_060946.1:31432823-31442955,8543,15.0,0.0000982751444099
NC_060946.1:31432823-31442955,8543,11.0,0.0000717476286809
NC_060946.1:31432823-31442955,8543,14.0,0.0000000005046182
NC_060946.1:31432823-31442955,8543,10.0,0.0003023541648872
NC_060946.1:31432823-31442955,8543,26.0,0.0006083866464905
NC_060946.1:31432823-31442955,8543,25.0,0.0001428296673112
NC_060946.1:31432823-31442955,8543,29.0,0.0002892981865443
NC_060946.1:31432823-31442955,8567,11.0,0.3225261270999908
NC_060946.1:31432823-31442955,8567,28.0,0.0356072373688221
NC_060946.1:31432823-31442955,8567,26.0,0.0005176175036468
NC_060946.1:31432823-31442955,8567,24.0,0.0047381496988237
NC_060946.1:31432823-31442955,8567,3.0,0.2091433256864548
NC_060946.1:31432823-31442955,8567,20.0,0.2252813577651978
NC_060946.1:31432823-31442955,8567,29.0,0.2675232887268066
NC_060946.1:31432823-31442955,8567,16.0,0.0061501320451498
NC_060946.1:31432823-31442955,8567,14.0,0.2344233989715576
NC_060946.1:31432823-31442955,8567,22.0,0.0070953099057078
NC_060946.1:31432823-31442955,8567,12.0,0.4482499659061432
NC_060946.1:31432823-31442955,8567,4.0,0.0911690443754196
NC_060946.1:31432823-31442955,8567,21.0,0.0001199498947244
NC_060946.1:31432823-31442955,8567,27.0,0.0025387916248292
NC_060946.1:31432823-31442955,8567,25.0,0.0253358483314514
NC_060946.1:31432823-31442955,8567,18.0,0.1710264235734940
NC_060946.1:31432823-31442955,8567,10.0,0.0082046939060092
NC_060946.1:31432823-31442955,8567,23.0,0.0760560631752014
NC_060946.1:31432823-31442955,8567,19.0,0.2132005542516708
NC_060946.1:31432823-31442955,8567,13.0,0.0013111663283780
NC_060946.1:31432823-31442955,8590,23.0,0.0029943403787911
NC_060946.1:31432823-31442955,8590,19.0,0.0050705741159618
NC_060946.1:31432823-31442955,8590,22.0,0.0022633592598140
NC_060946.1:31432823-31442955,8590,24.0,0.0116873681545258
