transcript_id,transcript_position,read_index,probability_modified
NC_060946.1:31432823-31442955,8274,19.0,0.0308096464723349
NC_060946.1:31432823-31442955,8274,14.0,0.0073219328187406
NC_060946.1:31432823-31442955,8274,20.0,0.0030929264612496
NC_060946.1:31432823-31442955,8274,11.0,0.0053947102278471
NC_060946.1:31432823-31442955,8274,24.0,0.0077647594735026
NC_060946.1:31432823-31442955,8274,18.0,0.0000025423391889
NC_060946.1:31432823-31442955,8274,15.0,0.0148972710594535
NC_060946.1:31432823-31442955,8274,6.0,0.0124318441376090
NC_060946.1:31432823-31442955,8274,25.0,0.0023254479747266
NC_060946.1:31432823-31442955,8274,16.0,0.0011650349479169
NC_060946.1:31432823-31442955,8274,17.0,0.0043744482100010
NC_060946.1:31432823-31442955,8274,10.0,0.1269962191581726
NC_060946.1:31432823-31442955,8274,7.0,0.2461836338043213
NC_060946.1:31432823-31442955,8274,12.0,0.0000567380920984
NC_060946.1:31432823-31442955,8274,13.0,0.0027494726236910
NC_060946.1:31432823-31442955,8274,9.0,0.0002641945320647
NC_060946.1:31432823-31442955,8274,21.0,0.0000426901933679
NC_060946.1:31432823-31442955,8274,8.0,0.0551229566335678
NC_060946.1:31432823-31442955,8274,22.0,0.0009383909637108
NC_060946.1:31432823-31442955,8274,23.0,0.4786305427551270
NC_060946.1:31432823-31442955,8303,8.0,0.0000000682449652
NC_060946.1:31432823-31442955,8303,12.0,0.0000026995262488
NC_060946.1:31432823-31442955,8303,20.0,0.0000016340229649
NC_060946.1:31432823-31442955,8303,25.0,0.0000115028324217
NC_060946.1:31432823-31442955,8303,23.0,0.0000034152042190
NC_060946.1:31432823-31442955,8303,14.0,0.0000022062970402
NC_060946.1:31432823-31442955,8303,11.0,0.0000007723356248
NC_060946.1:31432823-31442955,8303,17.0,0.0000067743462751
NC_060946.1:31432823-31442955,8303,24.0,0.0000001254470163
NC_060946.1:31432823-31442955,8303,6.0,0.0000055778232309
NC_060946.1:31432823-31442955,8303,13.0,0.0000140873471537
NC_060946.1:31432823-31442955,8303,16.0,0.0000028740469133
NC_060946.1:31432823-31442955,8303,21.0,0.0000021991841095
NC_060946.1:31432823-31442955,8303,19.0,0.0000000288152258
NC_060946.1:31432823-31442955,8303,10.0,0.0000067068885983
NC_060946.1:31432823-31442955,8303,22.0,0.0000002126238599
NC_060946.1:31432823-31442955,8303,9.0,0.0000118657035273
NC_060946.1:31432823-31442955,8303,15.0,0.0000172270374605
NC_060946.1:31432823-31442955,8303,18.0,0.0000512622937094
NC_060946.1:31432823-31442955,8303,7.0,0.0000034316560686
NC_060946.1:31432823-31442955,8567,10.0,0.1585962623357773
NC_060946.1:31432823-31442955,8567,25.0,0.3176731467247009
NC_060946.1:31432823-31442955,8567,21.0,0.0536161884665489
NC_060946.1:31432823-31442955,8567,20.0,0.0960160121321678
NC_060946.1:31432823-31442955,8567,18.0,0.3780236244201660
